Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,AUS,,96.54105,,95.15404,94.52301,97.27922,98.30379,99.97696,99.98407,99.97685,99.95414,99.90612,99.093,98.11419,96.30331,96.34697,97.0215,97.57306,98.24894,98.36512,97.97447,97.38874,97.15609,96.73898,96.43436,94.99609,95.40056,94.98368,94.91501,94.54912,94.48531,93.95538,94.02894,95.01722,95.375,95.675,95.78078,96.55403,96.67832,96.81221,97.10396,97.67766,97.98651,97.48417,97.13516,97.10963,96.7724,96.4991,,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.79354,95.38335,93.86551,,91.69871,90.92345,,,,86.78701,85.34118,85.95611,86.99052,89.53195,95.41897,97.59204,97.79873,97.65542,97.77841,97.44221,,
Algeria,DZA,,,,67.87061,71.78052,74.18978,76.1599,77.72608,78.77859,78.87035,79.98721,80.25392,79.92768,79.26301,80.29434,80.65069,81.81824,83.14107,84.25691,85.33525,85.87007,87.60795,88.70739,88.22298,88.16877,88.39232,87.9189,87.36391,,90.05305,90.74774,92.74897,93.90213,94.35822,95.08431,95.39817,95.64397,95.89073,97.26895,98.99715,98.92068,99.08721,,,,,,99.48537,99.6475,,
Angola,AGO,,,,,,,,,,,,,45.19862,42.53922,,,,,,,,,,,,,,,45.34669,,,,,,,,,,82.44691,81.2593,81.90919,81.59927,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.35554,97.58825,,96.3281,95.97518,94.87391,,93.73436,97.63492,,97.55055,99.3101,,
Argentina,ARG,95.12735,,,,96.62253,96.32775,,,,,,,,,,,,95.45755,,,,96.1759,,,,,,100,99.7343,99.62729,99.35688,99.43632,99.45558,99.42561,99.13676,99.34854,99.52115,99.65259,99.52275,99.51247,99.13102,99.21521,99.26778,99.44548,99.7727,99.83682,99.4496,99.48052,,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.1312,85.53043,,88.61333,92.21765,97.07957,,,,95.15386,96.41176,96.5881,94.12688,93.03258,92.49744,92.31421,90.843,,
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.01382,98.24184,96.62665,95.40839,93.97484,94.77636,97.97892,98.6602,98.91579,99.10333,96.0174,98.91975,,,,99.29199,,,,,,
Austria,AUT,,90.95584,90.16531,88.81081,87.91742,87.62543,87.04474,,,,,,,,,,,,,94.2875,,,,,,,,,,90.24,91.24983,90.30978,88.3725,87.47428,87.70214,87.84051,88.24742,88.19702,87.79193,87.46642,87.39116,87.19339,88.42921,88.4241,88.73989,88.62591,88.8771,88.64471,,,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,96.17142,96.14938,91.32005,83.26495,84.66302,93.50836,90.12694,88.72601,92.1411,88.23962,85.4634,84.91034,83.3463,84.28326,83.95354,83.77201,83.45841,83.98751,85.5189,84.72605,87.26808,89.29003,93.67068,94.8121,94.26275,94.96529,97.93103,92.61575,,
