Average intake as a percentage of weighted reference nutrient intakes,1980,1981,1982,1983,1984,1986,1987,1988,1989,1990,1992,1993,1994,1995,1996,1998,1999,2000,2001,2002,2004,2005
Energy ,0.991189614,1.629293118,0.431221232,0.600513999,1.707428241,-0.617091667,0.607025259,1.473022872,-1.007767282,-1.053346104,0.014500577,-0.779873174,-0.68871553,-0.499888983,-0.623602928,-0.903587118,-1.359375336,-0.617091667,0.086124439,-1.404954157,0.808874327,1.206061202
Protein ,68.1,73.5,70.7,69.1,71.5,64.5,66.6,71.4,60,58.4,65.8,62.6,61.6,63.5,62.4,64.7,61.8,66,67.8,63.1,69,68.5
Calcium ,0.871303895,2.287221571,1.840432461,0.892145369,1.263384134,-0.028787287,0.541748079,1.301159307,-0.276279797,-1.154226912,-0.161651687,-0.755633711,-0.991402892,-0.870261821,-0.73088446,-0.484694542,-0.966653641,-0.450827146,-0.388302722,-1.103425817,-0.215057965,-0.418262342
Iron ,11.1,11.8,11.3,11.1,13.5,9.7,10.4,10.9,9.6,9.5,10.6,13.9,14.2,14.5,15.6,15.9,15.4,16.5,16.5,14.7,16.4,16.3
Vitamin A ,-0.76772796,-0.030019026,-0.214273736,-0.701479075,-0.59451473,-1.323252461,-1.16315099,-0.725632315,-1.185233952,-1.651046422,-1.128646363,0.188740312,0.609006674,0.067284023,0.958883596,1.352236348,0.974065632,1.472312452,1.034103684,0.388177058,1.147968954,1.292198297
Thiamin ,0.82,0.87,0.83,0.81,0.86,0.71,0.75,0.8,0.71,0.66,0.74,0.91,0.96,0.99,1.19,1.22,1.19,1.26,1.28,1.12,1.29,1.28
Riboflavin ,1.18,1.35,1.29,1.21,1.25,1.07,1.11,1.22,0.98,0.88,1.02,1.17,1.2,1.19,1.24,1.32,1.24,1.35,1.35,1.19,1.36,1.35
Niacin equivalent ,14.6,15.2,15.7,14.7,15.4,13.9,14.2,15,13.1,12.9,14.4,17.5,18.4,19.1,21,22.2,21.2,22.1,22.4,21.2,23.1,23.4
Vitamin C ,74.9,75.5,73.3,72.2,67.5,64.8,65.8,67,68.1,64.7,69.8,68.2,74.3,72.6,78.1,85.3,87.7,93,87.8,80.1,76.4,82.9
